figure,model,Kn_paper,RT,seed,particles,steps,profile_samples,time_blocks,velocity_mean_rms,velocity_naive_block_se_rms,velocity_signal_to_naive_block_se_ratio,recent_four_block_Ek_relative_range,last_block_velocity_rmse_vs_all_samples
Figure5,HS,20.0,0.2,104729,80000000,1500000,700000,14,0.00010501708670690156,1.7502608619445246e-05,6.000081987220379,0.10262036036271419,6.266871432850317e-05
Figure5,BGK,20.0,0.2,104729,80000000,1500000,700000,14,0.0001744279474022879,1.7498730338683045e-05,9.968034481718595,0.05946332897536247,6.339655649623419e-05
Figure5,SHAKHOV,20.0,0.2,104729,80000000,1500000,700000,14,0.00016619405623504772,1.745615549715961e-05,9.520656267188391,0.06727059470547946,6.35486653811067e-05
Figure6,SHAKHOV,5.0,0.5,104729,80000000,1500000,700000,14,0.00031655246096571954,2.0139284244716304e-05,15.718158456836395,0.07563713096044113,7.194839431510776e-05
Figure6,SHAKHOV,10.0,0.5,104729,80000000,1500000,700000,14,0.00017764274605381412,2.0148553295660286e-05,8.816650180639812,0.1039649399888146,7.220342431356523e-05
Figure6,SHAKHOV,20.0,0.5,104729,80000000,1500000,700000,14,9.563565567168661e-05,2.0035162602776506e-05,4.773390541808394,0.1418592214578198,7.235291622891876e-05
Figure2d,HS,30.0,0.5,104729,80000000,1500000,700000,14,4.764433102954251e-05,2.0064428403659525e-05,2.3745670731817468,0.10621499819271894,7.281995556331711e-05
