x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.4975,-1.0091951241137224e-05,3.225671581326324e-05,8.620969928268871e-06,7.63203871948867e-05,6.136376454301339e-05,1.640015592018735e-05,0.6421632993622364,6.446261544877565e-05,1.722835866176281e-05
-0.4925,-1.5849663623127174e-05,6.361453687831556e-05,1.7001700129782338e-05,7.269801163031034e-05,6.314481841520272e-05,1.6876162589981604e-05,0.6438542137918969,6.836190573714195e-05,1.8270487826808645e-05
-0.4875,-1.026730547802419e-05,5.372976652143462e-05,1.4359884128183218e-05,5.200076798574316e-05,4.583236928033041e-05,1.2249215933649956e-05,0.6455074089143485,5.9671143552218444e-05,1.5947783932100456e-05
-0.4825,3.2000763044609186e-06,5.692174497204673e-05,1.5212976253051507e-05,7.308331308862365e-05,4.004168341528871e-05,1.0701590037834189e-05,0.6471802459562382,6.964943406017021e-05,1.86145942454186e-05
-0.4775,-1.900920831770898e-06,3.818806936152312e-05,1.0206190843798472e-05,4.4934436229985376e-05,3.76378904922629e-05,1.0059149355926012e-05,0.6488339723826868,6.347693602149293e-05,1.696492475389971e-05
-0.4725,-1.230349450866728e-06,4.732645371177106e-05,1.2648526794318801e-05,7.401897643076827e-05,4.4858253283492687e-05,1.1988872482568346e-05,0.650487435818978,6.557997123760826e-05,1.7526984557544255e-05
-0.4675,-3.3302600477312094e-06,4.477788756975262e-05,1.1967393842106997e-05,7.472594458046142e-05,6.306383369239358e-05,1.68545185123877e-05,0.6521522393570376,7.308673786135604e-05,1.9533252328153822e-05
-0.4625,-1.0450943361374877e-05,4.036559873124946e-05,1.0788160047452314e-05,7.858810149041613e-05,4.2082826850584164e-05,1.1247108567272644e-05,0.6537785792165228,8.87816242991104e-05,2.372788716918252e-05
-0.4575,-7.3795056660987355e-06,4.553820480900011e-05,1.2170597171715706e-05,5.7828901061102145e-05,5.698989200647504e-05,1.5231189314105466e-05,0.6554011114469751,6.22355994434693e-05,1.6633163598425793e-05
-0.4525,-1.3903809014695658e-05,5.763595522697063e-05,1.540385697276906e-05,7.252336452812951e-05,6.374288809321713e-05,1.7036003434877902e-05,0.6570457778663019,4.794898334682118e-05,1.2814904837709584e-05
-0.4475,-9.448003930162343e-06,5.0528323962660776e-05,1.3504262614014033e-05,5.6899763926812635e-05,4.373985469451155e-05,1.1689967886724143e-05,0.6586379078170777,5.16271345364966e-05,1.3797932092603898e-05
-0.4425,-6.939274767949848e-06,5.010730842597141e-05,1.3391741478814005e-05,4.2310274442487636e-05,5.8995386959000155e-05,1.576718038576643e-05,0.6602444301456403,5.6666513536432795e-05,1.5144762782594239e-05
-0.4375,-6.716465883156118e-06,5.3746467783733525e-05,1.436434772828673e-05,5.682704117663833e-05,4.949330021380273e-05,1.3227640881485377e-05,0.6618440007974318,6.691045575432631e-05,1.7882571501827574e-05
-0.4325,-7.779288336624042e-06,5.521013499202354e-05,1.4755529244120812e-05,5.7639220877963524e-05,5.017863806191325e-05,1.3410805125900982e-05,0.6634249702132922,6.982451059779564e-05,1.8661385418294102e-05
-0.4275,-8.66476660079774e-06,6.723492522565542e-05,1.796928961569766e-05,3.930325032378008e-05,4.9044582761754726e-05,1.3107716097983247e-05,0.6649934611257241,7.286177635251143e-05,1.9473128835917522e-05
-0.4225,-1.3905516054028555e-05,5.8239670228729174e-05,1.5565206593900208e-05,5.8073646026325396e-05,5.0808884888127e-05,1.3579245675386234e-05,0.6665506252427282,6.553081269649725e-05,1.751384638479632e-05
-0.4175,-1.519160786223147e-05,4.9643077216238834e-05,1.3267670469166372e-05,4.788686838784599e-05,6.903647909651945e-05,1.8450775140596913e-05,0.6680462465929853,7.200749394508852e-05,1.9244812258765735e-05
-0.4125,-1.0212701337365699e-05,4.572835314358781e-05,1.2221416451765195e-05,6.0315360034048616e-05,3.724641194249706e-05,9.954522312533519e-06,0.6695212263620786,7.630924685421488e-05,2.0394504083659232e-05
-0.4075,-1.6887484285269126e-05,5.1919156062058616e-05,1.3875978128190763e-05,4.246281181627279e-05,4.244771200193245e-05,1.1344628225977389e-05,0.6710270766234916,6.218392945172028e-05,1.661935421226135e-05
-0.40249999999999997,-1.3764030569533442e-05,4.8478300036450457e-05,1.2956370673544877e-05,3.3727680681282854e-05,4.623816940708349e-05,1.2357670579494201e-05,0.6725112137483329,7.241421502990484e-05,1.9353513041005715e-05
-0.3975,-1.7456877304204672e-05,5.2679258945874104e-05,1.4079124168900505e-05,1.2719607090704755e-05,5.151412403522145e-05,1.3767728765683954e-05,0.6739852513216253,7.397949501717317e-05,1.977185171434371e-05
-0.3925,-1.882670587851971e-05,4.2306819188704654e-05,1.1306973037737593e-05,3.0342808822038034e-05,4.1090888326517056e-05,1.098200184542969e-05,0.6754091188977844,5.431087963719929e-05,1.4515193141194084e-05
-0.3875,-3.6220393172077376e-05,5.043350194816633e-05,1.3478920364659609e-05,2.7303923373842204e-05,5.2076143965593015e-05,1.3917934910254596e-05,0.6768551392287001,8.834488366152836e-05,2.361116332398872e-05
-0.3825,-3.296689876183707e-05,4.400083818596923e-05,1.1759718658769764e-05,4.627870606344692e-05,5.613856451026489e-05,1.5003662470194148e-05,0.6782562075063691,6.528140935911175e-05,1.7447190539109573e-05
-0.3775,-1.606308838134621e-05,4.770274972763696e-05,1.274909613484582e-05,5.963160368424463e-05,4.336016100460458e-05,1.1588490479613294e-05,0.6796301717133433,6.306920378948246e-05,1.6855953731204865e-05
-0.3725,-2.3601320021985396e-05,4.9615712522712766e-05,1.3260356947190042e-05,5.2793408747548904e-05,5.040213338662257e-05,1.3470536763944417e-05,0.680991820005197,6.960389580266694e-05,1.8602423634163752e-05
-0.3675,-1.807855466260817e-05,4.500190115720406e-05,1.2027263991694526e-05,3.1226031735990045e-05,6.509731216626323e-05,1.7397988494716287e-05,0.6823567478550223,6.075729377305176e-05,1.6238069789023823e-05
-0.3625,-1.2309726777336511e-05,4.215131888549559e-05,1.126541383358418e-05,3.057038223623402e-05,6.075668577233682e-05,1.6237907293997663e-05,0.6836781558469874,5.1679980367382894e-05,1.3812055734996461e-05
-0.35750000000000004,-1.7831751167873507e-05,5.273022412456649e-05,1.4092745185852122e-05,-6.043185931611498e-06,5.058534708895067e-05,1.3519502685563997e-05,0.6849852775460553,4.768258178773601e-05,1.2743706026181075e-05
-0.35250000000000004,-2.916665436076265e-05,4.587991034041613e-05,1.2261921816410297e-05,2.7584440536338514e-05,4.753700325006429e-05,1.2704798525407136e-05,0.6862512900775937,7.790160916850475e-05,2.0820080813350885e-05
-0.34750000000000003,-2.259890644878646e-05,5.436534349890554e-05,1.4529749220513042e-05,7.958630698874332e-06,5.0819188253526255e-05,1.3581999365618716e-05,0.68751649010841,7.30714764151458e-05,1.9529173535086294e-05
-0.3425,-1.7030936026025784e-05,5.398685064584858e-05,1.4428592750550061e-05,4.6599376119470525e-06,4.5084459865696796e-05,1.2049328734656981e-05,0.6887692364316741,8.523152835283052e-05,2.2779084117671494e-05
-0.3375,-1.4340421721831154e-05,4.658686282864099e-05,1.2450862816386352e-05,8.166682494586338e-06,4.7286753022574696e-05,1.2637916338819403e-05,0.6899727115083062,5.731043063651528e-05,1.531685686645093e-05
-0.3325,-2.392558602565064e-05,4.326217329479702e-05,1.156230216259797e-05,1.1437306787141638e-06,6.319962023641395e-05,1.689080899277758e-05,0.6911643086903919,8.077475488635507e-05,2.1587961306098927e-05
-0.3275,-2.020504797375348e-05,4.133414614880543e-05,1.1047015233119392e-05,6.903258066551789e-07,5.9427120007182725e-05,1.5882565896398336e-05,0.6923303558145755,6.337235526327785e-05,1.6936974370579e-05
-0.3225,-2.1158140530804593e-05,5.600849181182313e-05,1.4968899079269703e-05,-1.093739607309666e-05,4.406520568163766e-05,1.1776921595600902e-05,0.6935019851973068,7.331785816820313e-05,1.9595021828392956e-05
-0.3175,-1.6780252143686107e-05,4.81856218431748e-05,1.2878149136129342e-05,3.1352135121680664e-05,7.660916435400092e-05,2.047466040712332e-05,0.6945944907159959,8.468280624952819e-05,2.2632431966878116e-05
-0.3125,-2.2028835744248102e-05,5.268478009249241e-05,1.4080599757402495e-05,4.779087420586154e-09,7.046945929297733e-05,1.883375520753816e-05,0.6957107870339441,5.574079063674095e-05,1.4897352930755824e-05
-0.3075,-2.9880709619799793e-05,4.849108949342604e-05,1.2959788799699558e-05,6.8674229664491165e-06,6.0159497053471303e-05,1.6078301895337577e-05,0.6967858598414831,7.9804513789824e-05,2.132865346568556e-05
-0.3025,-2.5575169596071438e-05,6.036057925951592e-05,1.6132043375451553e-05,-7.212850285994168e-06,4.912961941201365e-05,1.3130443098739522e-05,0.6978589258783505,7.959725303437223e-05,2.127326069878381e-05
-0.2975,-1.3689195235151316e-05,4.630755835235428e-05,1.2376215555182266e-05,-1.959057898188751e-06,6.618325516192387e-05,1.768821896838265e-05,0.6988937150355216,6.794166419587647e-05,1.8158173550586843e-05
-0.2925,4.694464012371955e-06,4.550304034671206e-05,1.2161199073853421e-05,-9.126065762012848e-06,6.181536180041767e-05,1.6520850364045463e-05,0.699894934439329,8.594905945325933e-05,2.297085237068289e-05
-0.2875,4.207849332610965e-06,3.9796157544552514e-05,1.0635970488699602e-05,-1.2092766612352685e-05,6.362366064245252e-05,1.70041385583165e-05,0.7009080429736574,6.993874144424173e-05,1.869191489617999e-05
-0.2825,2.2221405083736955e-06,4.175920979522942e-05,1.1160618271154493e-05,7.503589032150991e-06,4.5000305265619114e-05,1.2026837471727576e-05,0.7018824542389366,6.869258689018453e-05,1.835886608244784e-05
