x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
-0.4975,-6.4395786452103205e-06,3.096244599098185e-05,8.275061768196175e-06,0.0005695924949792204,3.889454468297102e-05,1.0395004315589118e-05,0.6409846891669992,6.42033214083348e-05,1.71590594144941e-05
-0.4925,-2.134101697994644e-05,4.3467419195655383e-05,1.1617156436958813e-05,0.0005688526313221117,3.958489993308055e-05,1.0579509517094153e-05,0.6429670726338134,6.504087562163511e-05,1.7382905193709726e-05
-0.4875,-3.103751355750877e-05,4.315463719866059e-05,1.1533561931994136e-05,0.0005675570272174128,5.820568081455824e-05,1.555612254085701e-05,0.6448868849863767,7.18794339908092e-05,1.9210586796345798e-05
-0.4825,-4.5992914748371915e-05,4.535450776261609e-05,1.2121502070963468e-05,0.0005516513240711243,5.1785788082954655e-05,1.3840334036464087e-05,0.6467746962276613,5.450785455580916e-05,1.4567836902567353e-05
-0.4775,-5.049539274120158e-05,5.486702137422447e-05,1.4663828272510767e-05,0.0005324770351157965,4.994687237732888e-05,1.3348863141206283e-05,0.6486305481798064,7.109318744395988e-05,1.9000453567785494e-05
-0.4725,-6.695245464225331e-05,5.474489311975025e-05,1.4631188123547387e-05,0.0004989810251497751,3.741541169510784e-05,9.999689396299169e-06,0.650470604323218,8.191506484734988e-05,2.1892721962439508e-05
-0.4675,-7.983943598747212e-05,4.2170241822738806e-05,1.1270471201292434e-05,0.0005044183609552208,4.743758583755053e-05,1.2678228104270989e-05,0.6522843419723152,6.362162886489639e-05,1.7003595542923556e-05
-0.4625,-7.735549723430842e-05,4.222196905427207e-05,1.1284295885432704e-05,0.00048140068610561394,3.521934789436207e-05,9.412766657592937e-06,0.6541055985439005,7.299207698680031e-05,1.9507953145259545e-05
-0.4575,-8.333954050536527e-05,4.578672832998561e-05,1.2237017876578739e-05,0.00044739880071963405,5.3269059608848085e-05,1.4236755026567701e-05,0.6558941272429496,6.719881582264627e-05,1.7959638971804716e-05
-0.4525,-8.823907448885616e-05,4.709683709809093e-05,1.2587159172982923e-05,0.0004597943848964019,5.2806528571357726e-05,1.4113138407064989e-05,0.6576491644934869,6.365825322770376e-05,1.7013383815611707e-05
-0.4475,-0.00010049462648877864,4.6120561355615806e-05,1.2326238505600048e-05,0.00047092654751726014,6.0347497221891844e-05,1.6128547053829396e-05,0.6594280711737885,7.07353857738963e-05,1.8904827049085962e-05
-0.4425,-0.00010754160577984123,4.401442476627069e-05,1.1763349825094474e-05,0.0004304903951567728,5.4850008345507585e-05,1.46592813493272e-05,0.661146260124829,6.436410419630588e-05,1.7202030422085392e-05
-0.4375,-0.00010213476363151965,4.177254365211194e-05,1.1164181894304398e-05,0.0004135474487011127,4.166045061546945e-05,1.113422377012159e-05,0.662868343925201,5.812429220903632e-05,1.55343705210677e-05
-0.4325,-0.00011306063855645999,5.561789823104548e-05,1.4864508553788045e-05,0.00038758040480923843,4.013401180634557e-05,1.0726265838291822e-05,0.6645793285292452,7.449455966599102e-05,1.990950853205196e-05
-0.4275,-0.0001209510608736819,5.751072113961939e-05,1.5370386755053798e-05,0.00037171312030077246,7.023911823316427e-05,1.8772193969829096e-05,0.6662670237933263,7.073998110527663e-05,1.8906055203057666e-05
-0.4225,-0.00012902585980545945,5.227002200502948e-05,1.3969750995853928e-05,0.0003302228669758493,5.910327019482796e-05,1.57960133933553e-05,0.667959141050818,6.531273565416694e-05,1.7455562843630537e-05
